week_threshold,prop_yes,n_samples,group
21.8,1.0,4,Group4
22.0,1.0,4,Group4
22.2,1.0,4,Group4
22.4,1.0,4,Group4
22.6,1.0,4,Group4
22.8,1.0,4,Group4
23.0,1.0,4,Group4
23.2,1.0,3,Group4
23.4,1.0,2,Group4
23.6,1.0,2,Group4
23.8,1.0,2,Group4
24.0,1.0,1,Group4
24.2,1.0,1,Group4
24.4,,0,Group4
24.6,,0,Group4
24.8,,0,Group4
25.0,,0,Group4
25.2,,0,Group4
25.4,,0,Group4
25.6,,0,Group4
25.8,,0,Group4
26.0,,0,Group4
26.2,,0,Group4
26.4,,0,Group4
26.6,,0,Group4
26.8,,0,Group4
27.0,,0,Group4
27.2,,0,Group4
27.4,,0,Group4
27.6,,0,Group4
27.8,,0,Group4
28.0,,0,Group4
28.2,,0,Group4
28.4,,0,Group4
28.6,,0,Group4
28.8,,0,Group4
29.0,,0,Group4
29.2,,0,Group4
29.4,,0,Group4
29.6,,0,Group4
29.8,,0,Group4
30.0,,0,Group4
10.0,0.7142857142857143,7,Group5
10.2,0.7142857142857143,7,Group5
10.4,0.7142857142857143,7,Group5
10.6,0.7142857142857143,7,Group5
10.8,0.7142857142857143,7,Group5
11.0,0.7142857142857143,7,Group5
11.2,0.7142857142857143,7,Group5
11.4,0.7142857142857143,7,Group5
11.6,0.7142857142857143,7,Group5
11.8,0.7142857142857143,7,Group5
12.0,0.7142857142857143,7,Group5
12.2,0.7142857142857143,7,Group5
12.4,0.7142857142857143,7,Group5
12.6,0.7142857142857143,7,Group5
12.8,0.7142857142857143,7,Group5
13.0,0.8333333333333334,6,Group5
13.2,0.8333333333333334,6,Group5
13.4,0.8333333333333334,6,Group5
13.6,0.8333333333333334,6,Group5
13.8,0.8333333333333334,6,Group5
14.0,0.8333333333333334,6,Group5
14.2,0.8333333333333334,6,Group5
14.4,0.8333333333333334,6,Group5
14.6,0.8333333333333334,6,Group5
14.8,0.8333333333333334,6,Group5
15.0,0.8333333333333334,6,Group5
15.2,0.8333333333333334,6,Group5
15.4,0.8333333333333334,6,Group5
15.6,0.8333333333333334,6,Group5
15.8,1.0,5,Group5
16.0,1.0,5,Group5
16.2,1.0,5,Group5
16.4,1.0,5,Group5
16.6,1.0,4,Group5
16.8,1.0,4,Group5
17.0,1.0,4,Group5
17.2,1.0,4,Group5
17.4,1.0,4,Group5
17.6,1.0,4,Group5
17.8,1.0,4,Group5
18.0,1.0,4,Group5
18.2,1.0,4,Group5
18.4,1.0,4,Group5
18.6,1.0,4,Group5
18.8,1.0,4,Group5
19.0,1.0,4,Group5
19.2,1.0,4,Group5
19.4,1.0,4,Group5
19.6,1.0,4,Group5
19.8,1.0,4,Group5
20.0,1.0,4,Group5
20.2,1.0,4,Group5
20.4,1.0,4,Group5
20.6,1.0,3,Group5
20.8,1.0,3,Group5
21.0,1.0,3,Group5
21.2,1.0,3,Group5
21.4,1.0,3,Group5
21.6,1.0,3,Group5
21.8,1.0,3,Group5
22.0,1.0,3,Group5
22.2,1.0,2,Group5
22.4,1.0,2,Group5
22.6,1.0,2,Group5
22.8,1.0,2,Group5
23.0,1.0,2,Group5
23.2,1.0,2,Group5
23.4,1.0,2,Group5
23.6,1.0,1,Group5
23.8,1.0,1,Group5
24.0,1.0,1,Group5
24.2,1.0,1,Group5
24.4,,0,Group5
24.6,,0,Group5
24.8,,0,Group5
25.0,,0,Group5
25.2,,0,Group5
25.4,,0,Group5
25.6,,0,Group5
25.8,,0,Group5
26.0,,0,Group5
26.2,,0,Group5
26.4,,0,Group5
26.6,,0,Group5
26.8,,0,Group5
27.0,,0,Group5
27.2,,0,Group5
27.4,,0,Group5
27.6,,0,Group5
27.8,,0,Group5
28.0,,0,Group5
28.2,,0,Group5
28.4,,0,Group5
28.6,,0,Group5
28.8,,0,Group5
29.0,,0,Group5
29.2,,0,Group5
29.4,,0,Group5
29.6,,0,Group5
29.8,,0,Group5
30.0,,0,Group5
